accession	strain
AB037262	588/98
AB037263	1226/98
AB037264	1288/98
AB037265	1386/98
AB037266	693/98
AB037267	240/86
AB037268	244/86
AB046739	5929/98
AB046740	7008/98
AB051301	Nagoya
AB051302	258
AB051303	Hungary
AB051304	Taiwan 80
AB051305	Yamanashi
AB051306	1334
AB051307	1457
AB051308	1524
AB051309	98-1394
AB051310	981186
AB051311	981334
AB051312	981435
AB051313	E1387
AB051314	E1558
AB051315	J1263P4
AB051316	J1166P4
AB051317	E1354
AB051318	E1360
AB051319	V-14375
AB051320	V-14389
AB051321	V-14405
AB051322	V-14433
AB051323	V-14429
AB051324	V-14570
AB051325	V-14600
AB051326	V-14653
AB051327	V-14707
AB051328	C7/Osaka
AB051329	V-14457
AB051330	971095
AB051331	SK-EV006
AB051332	SK026
AB051333	SK036
AB051334	KED005
AB051335	KED60
AB053288	Kanagawa/1/97
AB053289	Aichi/1/89
AB053290	Aichi/70
AB059813	Nagoya/Japan 73
AB059814	258/Bulgaria 75
AB059815	Hungary 78
AB059816	Yamanashi/Japan 80
AB059817	1095/Japan 97
AB059818	C7/Osaka/Japan 97
AB059819	SK-EV006/Malaysia 97
AB059820	Nagoya/Japan 73
AB059821	258/Bulgaria 75
AB059822	Hungary 78
AB059823	Yamanashi/Japan 80
AB059824	1095/Japan 97
AB059825	C7/Osaka/Japan 97
AB059826	SK-EV006/Malaysia 97
AB061512	Aichi/1/90
AB081342	V-3478/EV71/Kanagawa/1982
AB081343	V-4014/EV71/Kanagawa/1983
AB081344	V-4083/EV71/Kanagawa/1983
AB081345	V-4110/EV71/Kanagawa/1983
AB081346	V-4185/EV71/Kanagawa/1983
AB081347	V-4879/EV71/Kanagawa/1984
AB081348	V-6118/EV71/Kanagawa/1986
AB081349	V-6249/EV71/Kanagawa/1986
AB081350	V-6250/EV71/Kanagawa/1986
AB081351	V-6285/EV71/Kanagawa/1986
AB081352	V-6287/EV71/Kanagawa/1986
AB081353	V-6344/EV71/Kanagawa/1986
AB081354	V-6347/EV71/Kanagawa/1986
AB081355	V-6348/EV71/Kanagawa/1986
AB081356	V-6349/EV71/Kanagawa/1986
AB081357	V-6350/EV71/Kanagawa/1986
AB081358	V-6353/EV71/Kanagawa/1986
AB081359	V-6354/EV71/Kanagawa/1986
AB081360	V-6355/EV71/Kanagawa/1986
AB081361	V-6383/EV71/Kanagawa/1986
AB081362	V-6408/EV71/Kanagawa/1986
AB081363	V-6458/EV71/Kanagawa/1986
AB081364	V-7949/EV71/Kanagawa/1988
AB081365	V-8413/EV71/Kanagawa/1989
AB081366	V-8590/EV71/Kanagawa/1989
AB081367	V-9281/EV71/Kanagawa/1990
AB081368	V-9285/EV71/Kanagawa/1990
AB081369	V-11373/EV71/Kanagawa/1993
AB081370	V-11374/EV71/Kanagawa/1993
AB081371	V-11911/EV71/Kanagawa/1994
AB081372	V-11941/EV71/Kanagawa/1994
AB081373	V-11954/EV71/Kanagawa/1994
AB081374	V-12658/EV71/Kanagawa/1995
AB081375	V-14375/EV71/Kanagawa/1997
AB081376	V-14389/EV71/Kanagawa/1997
AB081377	V-14405/EV71/Kanagawa/1997
AB081378	V-14429/EV71/Kanagawa/1997
AB081379	V-14433/EV71/Kanagawa/1997
AB081380	V-14457/EV71/Kanagawa/1997
AB081381	V-14570/EV71/Kanagawa/1997
AB081382	V-14600/EV71/Kanagawa/1997
AB081383	V-14653/EV71/Kanagawa/1997
AB081384	V-14707/EV71/Kanagawa/1997
AB081385	P-499/EV71/Kanagawa/2000
AB081386	P-530/EV71/Kanagawa/2000
AB081387	P-564/EV71/Kanagawa/2000
AB081388	P-583/EV71/Kanagawa/2000
AB081389	P-739/EV71/Kanagawa/2000
AB081390	HC29F/EV71/Kanagawa/2000
AB081391	HC30TS/EV71/Kanagawa/2000
AB081392	HC32/EV71/Kanagawa/2000
AB081393	HO101A/EV71/Kanagawa/2000
AB081394	2118/EV71/Ehime/1973
AB081395	2215/EV71/Ehime/1973
AB081396	2285/EV71/Ehime/1973
AB081397	209/EV71/Ehime/1978
AB081398	353/EV71/Ehime/1978
AB081399	387/EV71/Ehime/1978
AB081400	454/EV71/Ehime/1978
AB081401	482/EV71/Ehime/1978
AB081402	78-004/EV71/Ehime/1978
AB094048	T042/Hiroshima/93
AB094049	K211/Hiroshima/95
AB094050	ON001/Hiroshima/97
AB094051	HS015/Hiroshima/99
AB094052	CH007/Hiroshima/00
AB094053	HA239/Hiroshima/00
AB094054	HA293/Hiroshima/00
AB094055	HA299/Hiroshima/00
AB094056	SE292/Hiroshima/00
AB094057	SE342/Hiroshima/00
AB094058	SE375/Hiroshima/00
AB094059	SRC345/Hiroshima/01
AB114141	Karaman/T51/K01
AB115490	F1-CHN-00
AB115491	F2-CHN-00
AB115492	H25-CHN-00
AB115493	H26-CHN-00
AB115494	97-56-CHN-97
AB115495	02363-Thai-02
AB121040	FU013/Hiroshima/03
AB121041	HA277/Hiroshima/03
AB121042	K028/Hiroshima/03
AB121043	SE076/Hiroshima/03
AB126217	HO786/EV71/Kanagawa/2003
AB162762	P-2265/EV71/Kanagawa/2003
AB162763	HO793ts/EV71/Kanagawa/2003
AB162764	HO793f/EV71/Kanagawa/2003
AB168001	03-96FCR1
AB168002	03-129FCC2
AB168003	03-131FCR2
AB168004	03-136NPV3
AB168005	03-159NPV3
AB177809	934-Yamagata-00
AB177810	1116-Yamagata-00
AB177811	1141-Yamagata-00
AB177812	1585-Yamagata-01
AB177813	75-Yamagata-03
AB177814	100-Yamagata-03
AB177815	2542-Yamagata-03
AB177816	2716-Yamagata-03
AB183003	2279/EV71/Hyogo/2003
AB183004	2276/EV71/Hyogo/2003
AB183005	1580/EV71/Hyogo/2000
AB183006	1426/EV71/Hyogo/2000
AB183007	1595/EV71/Hyogo/2000
AB183008	1610/EV71/Hyogo/2000
AB183009	1621/EV71/Hyogo/2000
AB183010	1635/EV71/Hyogo/2000
AB204852	BrCr
AB204853	BrCr
AB213614	671-Yamagata-98
AB213615	705-Yamagata-98
AB213616	932-Yamagata-99
AB213617	957-Yamagata-99
AB213618	983-Yamagata-99
AB213619	1002-Yamagata-99
AB213620	738-Yamagata-00
AB213621	739-Yamagata-00
AB213622	786-Yamagata-00
AB213623	962-Yamagata-00
AB213624	980-Yamagata-00
AB213625	1067-Yamagata-00
AB213626	1084-Yamagata-00
AB213627	1695-Yamagata-01
AB213628	1814-Yamagata-01
AB213629	2779-Yamagata-02
AB213630	452-Yamagata-03
AB213631	638-Yamagata-03
AB213632	828-Yamagata-03
AB213633	944-Yamagata-03
AB213634	946-Yamagata-03
AB213635	1144-Yamagata-03
AB213636	1268-Yamagata-03
AB213637	1469-Yamagata-03
AB213638	1530-Yamagata-03
AB213639	1716-Yamagata-03
AB213640	1725-Yamagata-03
AB213641	1799-Yamagata-03
AB213642	1897-Yamagata-03
AB213643	2091-Yamagata-03
AB213644	2316-Yamagata-03
AB213645	2321-Yamagata-03
AB213646	2399-Yamagata-03
AB213647	2419-Yamagata-03
AB213648	2933-Yamagata-03
AB213649	2934-Yamagata-03
AB213650	2972-Yamagata-03
AB238695	2276/EV71/Hyogo/2003
AB239756	1095/Japan 97
AB239757	1095/Japan 97
AB247285	Fukushima/29/83
AB247286	Fukushima/135/84
AB247287	Fukushima/419/85
AB247288	Fukushima/3302/93
AB247289	Fukushima/1478/89
AB247290	Fukushima/H8-1448-2/96
