accession	clade
AB575913	B1
AB575914	B1
AB575915	B2
AB575916	B1
AB575917	B2
AB575918	B1
AB575923	B2
AB575927	B2
AB575928	B2
AB575935	C1
AB575936	C1
AB575937	C1
AB575938	C1
AB575939	C2
AB575941	C2
AB575942	C2
AB575948	C2
AM396588	B3
DQ133458	C4
DQ133459	C4
DQ341355	C3
DQ341356	C3
DQ452074	C1
EU364841	B3
EU527983	C5
EU527985	B5
EU753365	C4
EU753375	C4
EU753384	C4
EU753397	C4
EU753398	C4
EU753407	C4
FJ172159	C2
FJ194964	C4
FJ194965	C4
FJ357373	C4
FJ357374	C4
FJ357375	B4
FJ357376	B4
FJ357377	B4
FJ357378	B5
FJ357379	B1
FJ357380	B1
FJ357381	B1
FJ357382	B1
FJ357383	B1
FJ357384	B1
FJ357385	B5
FJ360545	C4
FJ439769	C4
FJ606450	C4
FJ607334	C4
FJ607338	C4
FJ828519	C4
GQ279369	C4
GQ892830	C4
GQ994988	C4
GQ994989	C4
GQ994990	C4
GQ994991	C4
GU196833	C4
GU396280	C4
GU459070	C4
HM156065	B5
HM245928	C4
HM622390	B5
HM622391	C2.2
HM622392	C2.2
HM807310	C4
HQ129932	C4
HQ189392	B1
HQ424433	C2
HQ424434	C2
HQ424435	C2
HQ424436	C2
HQ424437	C2
HQ647167	C2
HQ647169	C2
HQ647171	C4
HQ647172	C1
HQ647173	C2
HQ647174	C2
HQ647175	C2
HQ647176	C2
HQ647177	C2
HQ647178	C2
HQ647179	C4
HQ647180	C4
HQ694982	C4
HQ850973	C4
HQ891923	C4
HQ891927	C4
HQ891929	C4
HQ998852	C4
JF738000	C1
JF738001	B5
JF738002	C4
JF820313	C4
JF820316	C4
JF894383	C4
JF913464	C4
JN544418	C2
JN864018	C4
JN864019	C4
JN864021	C4
JN864022	C4
JN864023	C4
JQ074188	C4
JQ074189	C4
JQ086365	C4
JQ086366	C4
JQ280307	C2.2
JQ316638	C4
JQ319054	C4
JQ639383	C4
JQ681218	C4
JQ708210	C4
JQ742001	C4
JQ742002	C4
JQ804832	C4
JX025561	C4
JX111891	C4
JX244184	C4
JX244185	C4
JX244186	C4
JX678874	C4
JX678875	C4
JX678876	C4
JX678878	C4
JX678879	C4
JX678881	C4
JX678882	C4
JX678884	C4
JX678885	C4
JX678886	C4
JX986737	C4
JX986739	C4
KC109780	C4
KC414134	C4
KC436265	C4
KC436266	C4
KC436267	C4
KC436268	C4
KC436269	C4
KC436270	C2
KC436271	C4
KC436272	C4
KC570452	C4
KC954662	C4
KF134486	B5
KF142412	C4
KF142413	C4
KF154354	B5
KF154355	B5
KF306100	B5
KF444809	C4
KF543271	C4
KF668443	C4
KF826491	C4
KF974779	B5
KF974780	B5
KF974783	B5
KF974785	B5
KF974792	B5
KF974797	B5
KF982854	C4
KJ004553	C4
KJ004554	C4
KJ004555	C4
KJ004556	C4
KJ004559	C4
KJ186973	C4
KJ186974	C4
KJ400360	C4
KJ508182	C4
KJ632497	C4
KJ632498	C4
KJ632499	C4
KJ686128	B5
KJ686131	B5
KJ686143	C4
KJ686163	C4
KJ686164	C4
KJ686165	C4
KJ686166	C4
KJ686169	C4
KJ686171	C4
KJ686175	C4
KJ686186	C4
KJ686193	C4
KJ686208	C4
KJ686212	C4
KJ686216	C4
KJ686217	C4
KJ686220	C4
KJ686224	C4
KJ686225	B5
KJ686239	C4
KJ686243	C4
KJ686244	C4
KJ686246	C4
KJ686249	C4
KJ686258	C4
KJ686261	C4
KJ686263	C4
KJ686270	B5
KJ686274	C4
KJ686279	C4
KJ686281	C4
KJ686282	C4
KJ686288	C4
KJ686294	C4
KJ686297	B5
KJ686303	C4
KJ686305	C4
KJ686308	C5
KJ746494	C4
KJ784496	C4
KM055005	C4
KM077140	C2
KM211580	C4
KM591215	C4
KM593929	C4
KP198624	C4
KP266579	C4
KP274874	C4
KP274875	C4
KP274876	C2
KP274877	B4
KP289417	C4
KP289418	C4
KP289420	C4
KP289422	C4
KP289424	C4
KP289425	C4
KP289428	C4
KP289429	C4
KP289431	C4
KP308410	C4
KP308415	C4
KP308416	C4
KP308421	C4
KP308424	C4
KP308426	C4
KP308427	C4
KP308431	C4
KP308432	C4
KP308439	C4
KP308442	C4
KP308446	C4
KP308452	C4
KP308453	C4
KP308456	C4
KP308457	C4
KP308458	C4
KP308459	C4
KP691645	B5
KP691647	B5
KP691654	B5
KP691656	B5
KP691663	B5
KP861243	C4
KR045291	B5
KR045292	B5
KR045293	B5
KR045294	B5
KR045295	B5
KR045296	B5
KR045297	B5
KR045298	B5
KR045299	B5
KR045300	B5
KR045301	B5
KR045302	B5
KR045303	C4
KR045304	B5
KT008670	C4
KT008671	C4
KT008672	C4
KT345960	C4
KT428645	C4
KT428646	C4
KT428647	C4
KT428650	C4
KU159435	C4
KU159438	C4
KU254595	C4
KU254596	C4
KU574619	B5
KU641501	C1.3
KU641502	C1.3
KU641503	C1.3
KU641504	C1.3
KU641505	C1.3
KU641506	C1.3
KU641507	C1.3
KU641508	C1.3
KU647000	B5
KU936123	C4
KU936125	C4
KU936126	C4
KU936129	C4
KU936132	C4
KX139462	C1.3
KX197455	C4
KX197457	C4
KX197458	C4
KX197465	C4
KX372308	C4
KX372309	C4
KX372310	B5
KX372311	B5
KX372312	B5
KX372313	B5
KX372314	B5
KX372315	B5
KX372316	B5
KX372317	B5
KX372318	B5
KX372319	B5
KX372320	B5
KX372321	B5
KX372323	B5
KX372324	C2
KX372325	B5
KX372326	B5
KX372327	B5
KX372328	C4
KX372329	B5
KX372330	B5
KX372331	B5
KX372332	C4
KX430820	C4
KX752783	C4
KX893543	C4
KY014080	C4
KY315729	C4
KY425527	C4
KY582572	C4
KY612315	C4
KY888025	C2
